artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language,embed_code
Shawn Mendes,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,Señorita,spotify:album:0xzScN8P3hQAz3BT3YYX5w,190799,Shawn Mendes (Deluxe),Señorita,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,audio_features,6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190800,4,85,"['canadian pop', 'dance pop', 'pop', 'viral pop']",81,english,https://open.spotify.com/embed/track/6v3KW9xbzN5yKLt9YKDYA2?utm_source=generator
Madilyn Bailey,spotify:track:62usIcDxqFIQ7x5qN91hrN,https://open.spotify.com/track/62usIcDxqFIQ7x5qN91hrN,spotify:artist:0NxhAEPOSeCg6vypFr7yjU,https://open.spotify.com/artist/0NxhAEPOSeCg6vypFr7yjU,I Need Your Love,spotify:album:3UeQky60klTQg4svlsc0yT,199797,"The Covers, Vol. 6",I Need Your Love,0.562,0.252,3,-7.428,1,0.0356,0.864,0.0,0.124,0.289,110.825,audio_features,62usIcDxqFIQ7x5qN91hrN,spotify:track:62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/tracks/62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/audio-analysis/62usIcDxqFIQ7x5qN91hrN,199797,4,58,"['post-teen pop', 'viral pop']",3,english,https://open.spotify.com/embed/track/62usIcDxqFIQ7x5qN91hrN?utm_source=generator
Katy Perry,spotify:track:4jbmgIyjGoXjY01XxatOx6,https://open.spotify.com/track/4jbmgIyjGoXjY01XxatOx6,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,Dark Horse,spotify:album:3jB9yFDwRe3KhtGnHXJntk,215672,PRISM,Dark Horse,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934,audio_features,4jbmgIyjGoXjY01XxatOx6,spotify:track:4jbmgIyjGoXjY01XxatOx6,https://api.spotify.com/v1/tracks/4jbmgIyjGoXjY01XxatOx6,https://api.spotify.com/v1/audio-analysis/4jbmgIyjGoXjY01XxatOx6,215672,4,85,"['dance pop', 'pop']",80,english,https://open.spotify.com/embed/track/4jbmgIyjGoXjY01XxatOx6?utm_source=generator
Katy Perry,spotify:track:3f7gYMirBEKuc57218BjOY,https://open.spotify.com/track/3f7gYMirBEKuc57218BjOY,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,California Gurls,spotify:album:06SY6Ke6mXzZHhURLVU57R,234653,Teenage Dream,California Gurls,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,audio_features,3f7gYMirBEKuc57218BjOY,spotify:track:3f7gYMirBEKuc57218BjOY,https://api.spotify.com/v1/tracks/3f7gYMirBEKuc57218BjOY,https://api.spotify.com/v1/audio-analysis/3f7gYMirBEKuc57218BjOY,234653,4,85,"['dance pop', 'pop']",71,english,https://open.spotify.com/embed/track/3f7gYMirBEKuc57218BjOY?utm_source=generator
Selena Gomez,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,Back To You - From 13 Reasons Why – Season 2 Soundtrack,spotify:album:3N7eWDCvfWv34xWNohdHjO,207904,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Back To You - From 13 Reasons Why – Season 2 Soundtrack,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,audio_features,4hQ6UGyWQIGJmHSo0J88JW,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,207905,4,87,"['dance pop', 'pop', 'post-teen pop']",76,english,https://open.spotify.com/embed/track/4hQ6UGyWQIGJmHSo0J88JW?utm_source=generator
Becky G,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,https://open.spotify.com/track/3DmW6y7wTEYHJZlLo1r6XJ,spotify:artist:4obzFoKoKRHIphyHzJ35G3,https://open.spotify.com/artist/4obzFoKoKRHIphyHzJ35G3,Shower,spotify:album:4JlzEvVJqpb62Xwc0EmOHr,206166,Shower,Shower,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,audio_features,3DmW6y7wTEYHJZlLo1r6XJ,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,https://api.spotify.com/v1/tracks/3DmW6y7wTEYHJZlLo1r6XJ,https://api.spotify.com/v1/audio-analysis/3DmW6y7wTEYHJZlLo1r6XJ,206167,4,80,"['dance pop', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",77,english,https://open.spotify.com/embed/track/3DmW6y7wTEYHJZlLo1r6XJ?utm_source=generator
Dua Lipa,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,Don't Start Now,spotify:album:7fJJK56U9fHixgO0HQkhtI,183290,Future Nostalgia,Don't Start Now,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,audio_features,3PfIrDoz19wz7qK7tYeu62,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/audio-analysis/3PfIrDoz19wz7qK7tYeu62,183290,4,88,"['dance pop', 'pop', 'uk pop']",83,english,https://open.spotify.com/embed/track/3PfIrDoz19wz7qK7tYeu62?utm_source=generator
Justin Bieber,spotify:track:2t6tPEvdNNibdUc41BuzTn,https://open.spotify.com/track/2t6tPEvdNNibdUc41BuzTn,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,Yummy,spotify:album:53DlkApwVykJ5PbWjVZ0rL,208520,Spring Break Forever,Yummy,0.677,0.506,9,-6.652,0,0.0964,0.345,0.0,0.118,0.497,145.843,audio_features,2t6tPEvdNNibdUc41BuzTn,spotify:track:2t6tPEvdNNibdUc41BuzTn,https://api.spotify.com/v1/tracks/2t6tPEvdNNibdUc41BuzTn,https://api.spotify.com/v1/audio-analysis/2t6tPEvdNNibdUc41BuzTn,208520,4,91,"['canadian pop', 'pop']",12,english,https://open.spotify.com/embed/track/2t6tPEvdNNibdUc41BuzTn?utm_source=generator
Alan Walker,spotify:track:4n7jnSxVLd8QioibtTDBDq,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN,On My Way,spotify:album:1bcvtuHyO79DNAOOhHEkEm,193797,On My Way,On My Way,0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087,audio_features,4n7jnSxVLd8QioibtTDBDq,spotify:track:4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,193798,4,81,['electro house'],74,english,https://open.spotify.com/embed/track/4n7jnSxVLd8QioibtTDBDq?utm_source=generator
SHAUN,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk,spotify:artist:72nLe76yBFSlP6VBzME358,https://open.spotify.com/artist/72nLe76yBFSlP6VBzME358,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,spotify:album:13aeLAMXve4Jxd8mNKu068,192452,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,0.737,0.747,10,-4.818,1,0.0323,0.269,0.0,0.219,0.447,105.943,audio_features,1ZLrDPgR7mvuTco3rQK8Pk,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/tracks/1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/audio-analysis/1ZLrDPgR7mvuTco3rQK8Pk,192453,4,62,['k-pop'],72,english,https://open.spotify.com/embed/track/1ZLrDPgR7mvuTco3rQK8Pk?utm_source=generator
