,artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language,embed_code,artists_song,genres_list,subjectivity,polarity,sim
555,LifeChill,spotify:track:3Ndtwv9EBFWJ5yJeJxjOIW,https://open.spotify.com/track/3Ndtwv9EBFWJ5yJeJxjOIW,spotify:artist:3hu7U0bMEfw6jYxjekPaXY,https://open.spotify.com/artist/3hu7U0bMEfw6jYxjekPaXY,In Another Life Lofi,spotify:album:2OOX0bzLCNLca4qvcx9cwv,274459,In Another Life Lofi,In Another Life Lofi,0.256,0.568,2,-9.466,1,0.159,0.746,0.0108,0.352,0.0656,204.687,audio_features,3Ndtwv9EBFWJ5yJeJxjOIW,spotify:track:3Ndtwv9EBFWJ5yJeJxjOIW,https://api.spotify.com/v1/tracks/3Ndtwv9EBFWJ5yJeJxjOIW,https://api.spotify.com/v1/audio-analysis/3Ndtwv9EBFWJ5yJeJxjOIW,274460,4,0,[],0,english,https://open.spotify.com/embed/track/3Ndtwv9EBFWJ5yJeJxjOIW?utm_source=generator,LifeChillIn Another Life Lofi,['[]'],low,Neutral,0.5744981294395468
40,Harry Styles,spotify:track:3jjujdWJ72nww5eGnfs2E7,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,spotify:artist:6KImCVD70vtIoJWnq6nGn3,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,Adore You,spotify:album:7xV2TzoaVc0ycW7fwBwAml,207133,Fine Line,Adore You,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,audio_features,3jjujdWJ72nww5eGnfs2E7,spotify:track:3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/tracks/3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/audio-analysis/3jjujdWJ72nww5eGnfs2E7,207133,4,90,['pop'],85,english,https://open.spotify.com/embed/track/3jjujdWJ72nww5eGnfs2E7?utm_source=generator,Harry StylesAdore You,"[""['pop']""]",low,Neutral,0.5742834877490595
114,CHUNG HA,spotify:track:3QD0Y1tTngihByjdWC99lG,https://open.spotify.com/track/3QD0Y1tTngihByjdWC99lG,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y,Killing Me,spotify:album:21jf5kUkK5nHYTuZ5GRZVW,164053,Killing Me,Killing Me,0.722,0.851,10,-2.589,1,0.264,0.35,0.0,0.0661,0.763,122.012,audio_features,3QD0Y1tTngihByjdWC99lG,spotify:track:3QD0Y1tTngihByjdWC99lG,https://api.spotify.com/v1/tracks/3QD0Y1tTngihByjdWC99lG,https://api.spotify.com/v1/audio-analysis/3QD0Y1tTngihByjdWC99lG,164053,4,62,['k-pop'],62,korean,https://open.spotify.com/embed/track/3QD0Y1tTngihByjdWC99lG?utm_source=generator,CHUNG HAKilling Me,"[""['k-pop']""]",low,Neutral,0.5722138110309193
33,Maroon 5,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B) - Cardi B Version,spotify:album:1Li4rADxSxjT2g4xqUcMYh,235545,Red Pill Blues (Deluxe),Girls Like You (feat. Cardi B) - Cardi B Version,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,235545,4,86,['pop'],74,english,https://open.spotify.com/embed/track/7fa9MBXhVfQ8P8Df9OEbD8?utm_source=generator,Maroon 5Girls Like You (feat. Cardi B) - Cardi B Version,"[""['pop']""]",low,Neutral,0.5715915245890493
374,SHAUN,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk,spotify:artist:72nLe76yBFSlP6VBzME358,https://open.spotify.com/artist/72nLe76yBFSlP6VBzME358,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,spotify:album:13aeLAMXve4Jxd8mNKu068,192452,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,0.737,0.747,10,-4.818,1,0.0323,0.269,0.0,0.219,0.447,105.943,audio_features,1ZLrDPgR7mvuTco3rQK8Pk,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/tracks/1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/audio-analysis/1ZLrDPgR7mvuTco3rQK8Pk,192453,4,62,['k-pop'],72,english,https://open.spotify.com/embed/track/1ZLrDPgR7mvuTco3rQK8Pk?utm_source=generator,SHAUNWay Back Home (feat. Conor Maynard) - Sam Feldt Edit,"[""['k-pop']""]",low,Neutral,0.5709649741399097
5,Maroon 5,spotify:track:4cktbXiXOapiLBMprHFErI,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,Memories,spotify:album:1pCA38N6MkLlthXtAOvZTU,189486,JORDI (Deluxe),Memories,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486,4,86,['pop'],83,english,https://open.spotify.com/embed/track/4cktbXiXOapiLBMprHFErI?utm_source=generator,Maroon 5Memories,"[""['pop']""]",low,Neutral,0.5670868364601628
440,The Weeknd,spotify:track:2D4dV2KXDTszzJ3p3cFqhA,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Less Than Zero,spotify:album:2nLOHgzXzwFEpl62zAgCEC,211814,Dawn FM,Less Than Zero,0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981,audio_features,2D4dV2KXDTszzJ3p3cFqhA,spotify:track:2D4dV2KXDTszzJ3p3cFqhA,https://api.spotify.com/v1/tracks/2D4dV2KXDTszzJ3p3cFqhA,https://api.spotify.com/v1/audio-analysis/2D4dV2KXDTszzJ3p3cFqhA,211814,4,98,"['canadian contemporary r&b', 'canadian pop', 'pop']",79,english,https://open.spotify.com/embed/track/2D4dV2KXDTszzJ3p3cFqhA?utm_source=generator,The WeekndLess Than Zero,"[""['canadian"", 'contemporary', ""r&b',"", ""'canadian"", ""pop',"", ""'pop']""]",low,Negative,0.5669196008035878
26,HRVY,spotify:track:3wuR0YSNdT9rgWfFi1lctv,https://open.spotify.com/track/3wuR0YSNdT9rgWfFi1lctv,spotify:artist:28y6CyJNkGNjJQKrlx4AmN,https://open.spotify.com/artist/28y6CyJNkGNjJQKrlx4AmN,Million Ways,spotify:album:1xt2BkbHWFWZbQqP5iFHwe,169887,Million Ways,Million Ways,0.645,0.803,6,-4.819,1,0.034,0.0312,0.0,0.13,0.471,106.03,audio_features,3wuR0YSNdT9rgWfFi1lctv,spotify:track:3wuR0YSNdT9rgWfFi1lctv,https://api.spotify.com/v1/tracks/3wuR0YSNdT9rgWfFi1lctv,https://api.spotify.com/v1/audio-analysis/3wuR0YSNdT9rgWfFi1lctv,169887,4,66,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'social media pop', 'tropical house']",60,english,https://open.spotify.com/embed/track/3wuR0YSNdT9rgWfFi1lctv?utm_source=generator,HRVYMillion Ways,"[""['dance"", ""pop',"", ""'pop',"", ""'pop"", ""dance',"", ""'post-teen"", ""pop',"", ""'social"", 'media', ""pop',"", ""'tropical"", ""house']""]",low,Neutral,0.5659656964655713
431,The Weeknd,spotify:track:2Ghp894n1laIf2w98VeAOJ,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,How Do I Make You Love Me?,spotify:album:2nLOHgzXzwFEpl62zAgCEC,214214,Dawn FM,How Do I Make You Love Me?,0.805,0.498,7,-7.927,0,0.0737,0.0203,2.37e-05,0.085,0.636,121.006,audio_features,2Ghp894n1laIf2w98VeAOJ,spotify:track:2Ghp894n1laIf2w98VeAOJ,https://api.spotify.com/v1/tracks/2Ghp894n1laIf2w98VeAOJ,https://api.spotify.com/v1/audio-analysis/2Ghp894n1laIf2w98VeAOJ,214215,4,98,"['canadian contemporary r&b', 'canadian pop', 'pop']",71,english,https://open.spotify.com/embed/track/2Ghp894n1laIf2w98VeAOJ?utm_source=generator,The WeekndHow Do I Make You Love Me?,"[""['canadian"", 'contemporary', ""r&b',"", ""'canadian"", ""pop',"", ""'pop']""]",high,Positive,0.5649184873365354
0,Sabrina Carpenter,spotify:track:03B2SfXuvDh1m9F4tqrX07,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,Skin,spotify:album:6JISV6SiJtQnIsNC6OVpUf,177500,Skin,Skin,0.557,0.457,7,-5.372,1,0.0335,0.428,0.0,0.0567,0.328,105.918,audio_features,03B2SfXuvDh1m9F4tqrX07,spotify:track:03B2SfXuvDh1m9F4tqrX07,https://api.spotify.com/v1/tracks/03B2SfXuvDh1m9F4tqrX07,https://api.spotify.com/v1/audio-analysis/03B2SfXuvDh1m9F4tqrX07,177500,4,80,"['dance pop', 'pop', 'post-teen pop']",67,english,https://open.spotify.com/embed/track/03B2SfXuvDh1m9F4tqrX07?utm_source=generator,Sabrina CarpenterSkin,"[""['dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",low,Neutral,0.5623097886748438
441,Olivia Rodrigo,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,spotify:artist:1McMsnEElThX1knmY4oliG,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,traitor,spotify:album:6s84u2TUpR3wdUv4NgKA2j,229226,SOUR,traitor,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4,84,['pop'],86,english,https://open.spotify.com/embed/track/5CZ40GBx1sQ9agT82CLQCT?utm_source=generator,Olivia Rodrigotraitor,"[""['pop']""]",low,Neutral,0.5576332145476345
141,Jasmine Sandlas,spotify:track:5SAyE6j6CzdCp96bBBqajb,https://open.spotify.com/track/5SAyE6j6CzdCp96bBBqajb,spotify:artist:0mJDQBWytBhOh5JB1DOQ1c,https://open.spotify.com/artist/0mJDQBWytBhOh5JB1DOQ1c,Punjabi Mutiyaran,spotify:album:1iaNKOp0lzAxUuyrL4F43y,211363,Punjabi Mutiyaran,Punjabi Mutiyaran,0.693,0.907,7,-2.765,1,0.137,0.343,0.0,0.0544,0.961,175.971,audio_features,5SAyE6j6CzdCp96bBBqajb,spotify:track:5SAyE6j6CzdCp96bBBqajb,https://api.spotify.com/v1/tracks/5SAyE6j6CzdCp96bBBqajb,https://api.spotify.com/v1/audio-analysis/5SAyE6j6CzdCp96bBBqajb,211364,4,62,"['desi pop', 'punjabi pop']",45,punjabi,https://open.spotify.com/embed/track/5SAyE6j6CzdCp96bBBqajb?utm_source=generator,Jasmine SandlasPunjabi Mutiyaran,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral,0.5569656271692426
195,B Praak,spotify:track:1x0VRoHpq5J6x7qEjJ72wh,https://open.spotify.com/track/1x0VRoHpq5J6x7qEjJ72wh,spotify:artist:56SjZARoEvag3RoKWIb16j,https://open.spotify.com/artist/56SjZARoEvag3RoKWIb16j,"Suryudivo Chandrudivo (From ""Sarileru Neekevvaru"")",spotify:album:6yszlnrNZraW6ho4e4yyej,275026,"Suryudivo Chandrudivo (From ""Sarileru Neekevvaru"")","Suryudivo Chandrudivo (From ""Sarileru Neekevvaru"")",0.713,0.769,2,-5.618,1,0.0484,0.411,4.72e-05,0.472,0.834,129.999,audio_features,1x0VRoHpq5J6x7qEjJ72wh,spotify:track:1x0VRoHpq5J6x7qEjJ72wh,https://api.spotify.com/v1/tracks/1x0VRoHpq5J6x7qEjJ72wh,https://api.spotify.com/v1/audio-analysis/1x0VRoHpq5J6x7qEjJ72wh,275027,4,73,"['desi pop', 'punjabi pop']",33,telugu,https://open.spotify.com/embed/track/1x0VRoHpq5J6x7qEjJ72wh?utm_source=generator,"B PraakSuryudivo Chandrudivo (From ""Sarileru Neekevvaru"")","[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral,0.5561494345608118
