artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
"Chinmayi Sripaada, Gowtham Bharadwaj V",6Qtt3Feevn3dH9wNx80eUo,Pranam,0.496,0.215,2,-11.718,0,0.0309,0.634,0.000843,0.0887,0.123,127.479,27,[],44,['[]'],low,Neutral
Niranj Suresh,5ndqMP6k8TskCVYAsNJS3p,Boggu Ganilo - Telugu,0.796,0.699,1,-9.146,1,0.0511,0.0846,0.000452,0.319,0.479,99.996,42,"['malayalam pop', 'mollywood']",15,"[""['malayalam"", ""pop',"", ""'mollywood']""]",low,Neutral
Pradeep Kumar,0i5KYCaQs1xY7z9MWCFoXW,Life Of Ram,0.661,0.559,4,-8.829,0,0.0508,0.21,0.000118,0.116,0.388,90.009,69,['tamil pop'],57,"[""['tamil"", ""pop']""]",low,Neutral
Anurag Kulkarni,5reyXAeNOIusd41ojqfBBq,Sara Sari - Telugu,0.584,0.727,7,-5.566,0,0.176,0.335,6.04e-05,0.253,0.544,183.903,67,['tollywood'],43,"[""['tollywood']""]",low,Neutral
Divya S Menon,6iZIm3yoNhEYMcxWJPls60,Raletti,0.734,0.218,2,-11.196,0,0.0426,0.949,0.000567,0.133,0.801,157.954,45,['mollywood'],27,"[""['mollywood']""]",low,Neutral
G. V. Prakash,2zw3XDY1gtqUR8lHbCM3y2,"Pilla Puli (From ""Aakaasam Nee Haddhu Ra"")",0.708,0.561,6,-9.576,0,0.0387,0.195,0.0,0.411,0.722,119.948,75,"['filmi', 'tamil pop']",31,"[""['filmi',"", ""'tamil"", ""pop']""]",low,Neutral
Sanjana Kalamanje,2HwVeJKanuNEGipsvx01Wv,Hey choosa - Telugu,0.762,0.514,2,-5.282,1,0.0483,0.612,1.72e-05,0.0786,0.611,145.876,24,['tollywood'],40,"[""['tollywood']""]",low,Neutral
Nakash Aziz,5Y0X2kudA3h4nA2ZdfXn24,Super Cute - Telugu,0.522,0.803,11,-4.825,0,0.283,0.492,0.0,0.282,0.441,95.041,67,"['desi pop', 'filmi', 'modern bollywood']",46,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",high,Positive
Haricharan,2dlVsp2Lop6rpKrq5adoBT,Ay Pilla - Bit - Telugu,0.385,0.426,1,-11.931,1,0.0304,0.193,3.6e-05,0.16,0.456,140.101,70,"['filmi', 'tamil pop']",16,"[""['filmi',"", ""'tamil"", ""pop']""]",low,Neutral
Sid Sriram,6jsr2lK1Q2aBKtcolqikbn,"Neeli Neeli Aakasam (From ""30 Rojullo Preminchadam Ela"")",0.678,0.694,6,-4.865,0,0.0866,0.674,0.0,0.0964,0.631,95.072,78,['filmi'],51,"[""['filmi']""]",low,Neutral
Armaan Malik,5MWcKaftDM3yfqCsFPzQ0I,"Idera Sneham (From ""30 Rojullo Preminchadam Ela"")",0.527,0.599,10,-4.486,0,0.0296,0.72,0.0,0.104,0.755,84.804,75,"['desi pop', 'filmi', 'modern bollywood']",27,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Hiphop Tamizha,7GnqqySAT1HJj6qmOOYGT7,"Single Kingulam - From ""A1 Express""",0.793,0.78,6,-5.12,0,0.136,0.208,0.0,0.167,0.872,138.058,70,"['desi hip hop', 'tamil hip hop', 'tamil pop']",42,"[""['desi"", 'hip', ""hop',"", ""'tamil"", 'hip', ""hop',"", ""'tamil"", ""pop']""]",low,Negative
Dhanunjay Seepana,4mDg47Y7MSkYAOTdsOtp1B,"Meeko Dhandam (From ""30 Rojullo Preminchadam Ela"")",0.92,0.601,9,-7.655,1,0.146,0.365,0.000882,0.0437,0.508,100.0,58,['tollywood'],21,"[""['tollywood']""]",low,Neutral
Haricharan,5nVFeACm96rucybpDAjfK5,Ay Pilla - Telugu,0.504,0.554,1,-12.085,1,0.0356,0.347,1.36e-05,0.0963,0.386,140.005,70,"['filmi', 'tamil pop']",58,"[""['filmi',"", ""'tamil"", ""pop']""]",low,Neutral
Shreya Ghoshal,0VMigv7BI8OpP6CRSkyKX6,Vastunna Vachestunna - Telugu,0.624,0.386,4,-10.502,0,0.0764,0.544,0.0047,0.118,0.269,180.166,81,"['desi pop', 'filmi', 'modern bollywood']",52,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Sid Sriram,1zuPMzkl5P6UWoLEPQgJFq,"Ee Maya Peremito - From ""Orey Bujjiga""",0.474,0.517,0,-7.279,0,0.136,0.689,0.0,0.103,0.402,119.993,78,['filmi'],0,"[""['filmi']""]",low,Neutral
Sid Sriram,4kEd65XC9mEFTiscE6f6N9,Manasa Manasa - Telugu,0.653,0.577,4,-6.858,1,0.0374,0.379,9.31e-05,0.104,0.358,113.108,78,['filmi'],53,"[""['filmi']""]",low,Neutral
G. V. Prakash,1SD98pogFIJhn7bmSaXQVe,"Sithramaina Bhoomi (From ""Aakaasam Nee Haddhu Ra"")",0.911,0.588,7,-11.144,1,0.336,0.442,0.0,0.0418,0.72,133.992,75,"['filmi', 'tamil pop']",5,"[""['filmi',"", ""'tamil"", ""pop']""]",low,Neutral
Abhinav Bhat,3GxrT0FkpXWlrFEYbWe5Vu,Alasina Aasalaku,0.465,0.451,10,-9.724,0,0.0305,0.9,0.000465,0.102,0.39,119.168,32,[],0,['[]'],low,Neutral
KK,3vjg6cjrrRCNU6VnQTfQ7u,Thalachi Thalachi(Male),0.673,0.253,11,-12.408,0,0.0354,0.484,0.000385,0.109,0.185,131.959,76,"['desi pop', 'filmi', 'modern bollywood']",42,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Madhu Priya,4Ijq9U4ZvXuLord5plNeKR,He’S Soo Cute,0.82,0.801,7,-4.897,0,0.185,0.412,0.000193,0.054,0.963,153.99,40,['tollywood'],44,"[""['tollywood']""]",high,Positive
Shrikant Narayan,6vG16aA9ScF4s56tq6eBgv,Mi Haay Koli,0.683,0.592,10,-11.242,0,0.253,0.33,0.0,0.189,0.916,86.056,37,['koligeet'],41,"[""['koligeet']""]",low,Neutral
