artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Sohail Sen,59vbPXCgc6oxbSzMfVBLNb,Shaitan Ka Saala,0.84,0.667,7,-6.482,1,0.184,0.202,2.18e-05,0.355,0.197,100.01,61,"['desi pop', 'filmi', 'modern bollywood']",43,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Arijit Singh,5zEx8v8GJKoTx55zGeq8me,"Dua Karo (From ""Street Dancer 3D"")",0.463,0.828,0,-4.605,0,0.0857,0.124,0.0,0.141,0.335,170.081,89,"['desi pop', 'filmi', 'modern bollywood']",52,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Dhvani Bhanushali,0mJTAdmY8olbGQjopDYff3,Vaaste,0.444,0.479,5,-5.586,1,0.0436,0.454,0.0,0.095,0.315,89.892,70,"['desi pop', 'modern bollywood']",71,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Sohail Sen,5q6eZbatNFuToQdA7FGhj5,"Ek Chumma (From ""Housefull 4"")",0.74,0.903,1,-4.022,1,0.0461,0.204,0.0,0.509,0.949,114.065,61,"['desi pop', 'filmi', 'modern bollywood']",45,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Pritam,5O932cZmzOZGOGZz9RHx20,Khairiyat,0.534,0.481,0,-9.016,0,0.0412,0.697,0.0,0.142,0.293,124.914,88,"['filmi', 'indian instrumental', 'modern bollywood']",74,"[""['filmi',"", ""'indian"", ""instrumental',"", ""'modern"", ""bollywood']""]",low,Neutral
Alka Yagnik,2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From ""Tamasha"")",0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,79,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",75,"[""['classic"", ""bollywood',"", ""'desi"", ""pop',"", ""'filmi',"", ""'hare"", ""krishna',"", ""'modern"", ""bollywood']""]",low,Neutral
Pritam,3jJ5HgLRNydtLRghjWVaCG,Kabira (Encore),0.611,0.612,2,-7.978,1,0.114,0.441,0.0,0.18,0.898,171.841,88,"['filmi', 'indian instrumental', 'modern bollywood']",62,"[""['filmi',"", ""'indian"", ""instrumental',"", ""'modern"", ""bollywood']""]",low,Neutral
Pritam,1smFN2CLqGROu0J0UyvDfL,Shayad,0.483,0.468,8,-7.642,1,0.0341,0.784,0.0,0.152,0.319,135.875,88,"['filmi', 'indian instrumental', 'modern bollywood']",76,"[""['filmi',"", ""'indian"", ""instrumental',"", ""'modern"", ""bollywood']""]",low,Neutral
Vishal Mishra,1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")",0.385,0.464,2,-6.975,1,0.0404,0.452,0.0,0.109,0.15,137.839,70,"['desi pop', 'modern bollywood']",73,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Meet Bros.,01AE1MgL6L86WQzh4KGDUa,"Kinna Sona (From ""Marjaavaan"")",0.533,0.723,3,-4.301,0,0.0614,0.283,0.0,0.0678,0.591,97.848,66,"['desi pop', 'filmi', 'modern bollywood']",58,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Neha Kakkar,7ohcNRMaU2Nn1qukNYQWxz,"Maahi Ve (From ""Wajah Tum Ho"")",0.696,0.742,11,-6.418,0,0.0647,0.196,1.05e-05,0.0679,0.41,89.976,76,"['desi pop', 'filmi', 'modern bollywood']",48,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Neha Kakkar,5eXkMHrTm82gAZYK5Zx6ux,"Jinke Liye (From ""Jaani Ve"")",0.45,0.42,3,-5.818,0,0.0345,0.886,1.39e-05,0.111,0.383,119.149,76,"['desi pop', 'filmi', 'modern bollywood']",51,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Jubin Nautiyal,5lzXJ97yP3Tc64MFgc8Mrs,"Tum Hi Aana (Duet Version) [From ""Marjaavaan""]",0.419,0.266,4,-12.62,0,0.0298,0.757,0.0,0.121,0.302,89.752,78,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",43,"[""['desi"", ""pop',"", ""'filmi',"", ""'hare"", ""krishna',"", ""'modern"", ""bollywood']""]",low,Neutral
Tony Kakkar,20TfNZwBNOI9cn1MKM5a04,"Khuda Bhi Jab Acoustic (From ""T-Series Acoustics"")",0.539,0.565,6,-5.594,0,0.0714,0.245,3.52e-05,0.128,0.278,80.013,62,"['desi pop', 'modern bollywood']",42,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Jubin Nautiyal,6vNolBIVWvfY3Z20gAG5nI,"Tum Hi Aana (Sad Version) [From ""Marjaavaan""]",0.501,0.168,4,-9.675,0,0.0313,0.944,0.0,0.118,0.131,79.968,78,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",67,"[""['desi"", ""pop',"", ""'filmi',"", ""'hare"", ""krishna',"", ""'modern"", ""bollywood']""]",high,Negative
Jubin Nautiyal,6JtYtQUPV1ZCFjAfm0SBYy,"Tum Hi Aana (Happy Version) [From ""Marjaavaan""]",0.509,0.298,4,-8.735,0,0.0265,0.808,2.89e-06,0.133,0.297,90.006,78,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",35,"[""['desi"", ""pop',"", ""'filmi',"", ""'hare"", ""krishna',"", ""'modern"", ""bollywood']""]",high,Positive
Meet Bros.,3JUmNYQyJKeRq2a3RR8K71,"Ijazat (From ""One Night Stand"")",0.519,0.463,6,-8.88,0,0.0264,0.327,0.0,0.106,0.224,94.965,66,"['desi pop', 'filmi', 'modern bollywood']",63,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Jeet Gannguli,22DrqPUQfcOkv6QmjvHFcB,Mera Pyar Tera Pyar,0.638,0.471,7,-7.025,0,0.0258,0.825,0.0,0.0993,0.381,99.017,66,"['desi pop', 'modern bollywood']",60,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Javed-Mohsin,25zwp2av5dhuTfF8dqDGUV,Pal - Female,0.531,0.576,7,-6.124,0,0.0359,0.71,1.71e-05,0.0843,0.34,134.148,63,"['desi pop', 'modern bollywood']",53,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Shreya Ghoshal,6GvDQwUHPESFltD1vg7Qy9,"Kabhi Jo Baadal Barse (Female Version) [From ""Jackpot""]",0.544,0.35,5,-7.465,0,0.038,0.662,0.0,0.106,0.365,122.667,81,"['desi pop', 'filmi', 'modern bollywood']",43,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Ankit Tiwari,1TnYkFwGsWMZLiFXs2zXPf,Ek Villain Mashup (Mashup By Dj Kiran Kamath)[Remix By Mashup By Dj Kiran Kamath],0.574,0.797,1,-5.433,0,0.0336,0.189,0.0,0.205,0.43,102.181,67,"['desi pop', 'filmi', 'modern bollywood']",47,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Rauf & Faik,5snCfoQbJ7S4cYB0K8XuJ4,Детство,0.719,0.607,10,-7.323,0,0.0398,0.636,7.91e-06,0.111,0.48,149.967,63,['russian pop'],68,"[""['russian"", ""pop']""]",low,Neutral
Mvd Funk,6ae2VM73g0ZKnjh6xDcEBl,Childhood - Remix,0.728,0.6,5,-7.073,0,0.11,0.457,0.0,0.106,0.301,74.997,30,[],46,['[]'],low,Neutral
Serena,6IklmB1n2kIu4TvJDLb4Ss,Safari,0.799,0.689,5,-6.793,0,0.053,0.445,0.0122,0.18,0.477,103.019,56,['desi pop'],57,"[""['desi"", ""pop']""]",low,Neutral
Otilia,2q6GTrqamOK1yYPBTiWU6y,Bilionera - Dee Pete Remix,0.59,0.779,3,-5.574,0,0.057,0.43,0.00119,0.102,0.551,170.209,53,['romanian pop'],43,"[""['romanian"", ""pop']""]",low,Neutral
Rauf & Faik,3UQSF4LRAqmoJmjXnuOle2,Если тебе будет грустно,0.811,0.735,11,-5.548,0,0.053,0.58,1.22e-06,0.116,0.694,153.924,63,['russian pop'],57,"[""['russian"", ""pop']""]",low,Neutral
Rauf & Faik,01bfGEk9QAfTky6HqqpWR9,Я люблю тебя,0.839,0.508,0,-6.219,1,0.0502,0.69,0.0,0.112,0.335,117.971,63,['russian pop'],63,"[""['russian"", ""pop']""]",low,Neutral
Sohail Sen,1ocYa8PoVd5e2vPn0xHJcA,Saiyaara,0.659,0.665,8,-8.181,0,0.0266,0.456,0.000486,0.0898,0.692,93.012,61,"['desi pop', 'filmi', 'modern bollywood']",69,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Javed-Mohsin,5G7pZ8G8NFvS1MQ9H4L7dC,Pal,0.51,0.502,7,-7.016,0,0.0325,0.71,0.0,0.0708,0.321,133.885,63,"['desi pop', 'modern bollywood']",74,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Pritam,3oM90C4SZLYzVZJEZD5EQk,Khairiyat (Bonus Track),0.605,0.655,0,-5.625,0,0.0364,0.484,1.13e-06,0.152,0.597,124.974,88,"['filmi', 'indian instrumental', 'modern bollywood']",61,"[""['filmi',"", ""'indian"", ""instrumental',"", ""'modern"", ""bollywood']""]",low,Neutral
Armaan Malik,1YzWe6GO09gZRoZvGRSfmZ,Jab Tak (Redux),0.603,0.623,6,-6.881,1,0.0288,0.384,5.77e-06,0.111,0.456,122.021,75,"['desi pop', 'filmi', 'modern bollywood']",51,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
A.R. Rahman,1XFZMenJ30FfGOsj8X5sqf,Khulke Jeene Ka,0.676,0.544,7,-10.893,1,0.0568,0.566,0.0,0.341,0.533,88.969,81,"['filmi', 'modern bollywood']",56,"[""['filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Palash Muchhal,6O6L3hL5IlKuMhMqggTX4w,"Musafir (From ""Sweetiee Weds Nri"")",0.491,0.566,9,-4.668,0,0.0283,0.545,0.0,0.179,0.322,81.992,44,[],59,['[]'],low,Neutral
Shreya Ghoshal,3zb5Omz3mP7XRl7fDfiquc,Rehnuma,0.582,0.62,9,-9.689,0,0.0364,0.613,0.00141,0.106,0.549,89.992,81,"['desi pop', 'filmi', 'modern bollywood']",51,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Arijit Singh,6qElTDh0OatDTUoROu0vup,"Chal Wahan Jaate Hain (From ""Chal Wahan Jaate Hain"")",0.51,0.612,7,-7.629,0,0.0372,0.412,1.58e-05,0.156,0.193,150.041,89,"['desi pop', 'filmi', 'modern bollywood']",59,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Arijit Singh,2dOWkdPfiT9SU2Wm734Rh6,"Kabhi Jo Baadal Barse (From ""Jackpot)",0.451,0.449,0,-6.702,0,0.0293,0.261,0.0,0.143,0.217,149.768,89,"['desi pop', 'filmi', 'modern bollywood']",67,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Jubin Nautiyal,45wzRgkkG5gjuYS3OkFWaI,"Lo Safar (From ""Baaghi 2"")",0.527,0.469,7,-9.562,0,0.0247,0.856,0.00393,0.121,0.403,90.933,78,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",64,"[""['desi"", ""pop',"", ""'filmi',"", ""'hare"", ""krishna',"", ""'modern"", ""bollywood']""]",low,Neutral
Nandini Srikar,6U7K35NrdOzxUbh4nuuz7U,"Duaa (From ""Shanghai"")",0.554,0.578,5,-7.718,0,0.0379,0.536,5.53e-05,0.11,0.55,137.921,53,"['filmi', 'modern bollywood']",59,"[""['filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Asim Azhar,6DefzsWqnwrFrmNVnJxWkS,Jo Tu Na Mila,0.508,0.507,0,-5.33,0,0.0384,0.0636,1.15e-05,0.359,0.218,159.68,61,"['desi pop', 'modern bollywood', 'pakistani pop']",72,"[""['desi"", ""pop',"", ""'modern"", ""bollywood',"", ""'pakistani"", ""pop']""]",low,Neutral
Mugen Rao,4beibTdsFNXHq7bosci34R,Pogiren,0.455,0.774,11,-7.744,0,0.0569,0.843,0.0,0.131,0.215,142.032,51,"['desi hip hop', 'malaysian tamil pop', 'tamil pop']",63,"[""['desi"", 'hip', ""hop',"", ""'malaysian"", 'tamil', ""pop',"", ""'tamil"", ""pop']""]",low,Neutral
Mithoon,2U0BLmYoSESYOdwMxW2yA9,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",0.285,0.238,5,-9.623,0,0.0375,0.663,9.23e-06,0.0793,0.213,179.918,69,"['desi pop', 'filmi', 'modern bollywood']",60,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Hindi Song,4k5cZR2KpVSwAxwKmXR1BS,Genda Phool - Remix,0.962,0.484,10,-10.469,0,0.0937,0.00334,4.47e-06,0.288,0.748,116.987,19,[],11,['[]'],low,Neutral
Hindi Song,5ykidXeY3rOHstGkqYFlVA,Munda Hasda - Remix,0.614,0.939,8,-7.495,0,0.0297,0.0448,0.0828,0.0611,0.915,109.009,19,[],11,['[]'],low,Neutral
Yash Narvekar,5cUGbudt0p8da9zLKJQ2w9,Tu Bole Main Bolun + Jab Tak - The Remix(Remix By Kryll),0.679,0.812,7,-4.82,1,0.0576,0.0281,0.00159,0.109,0.404,126.064,54,['modern bollywood'],9,"[""['modern"", ""bollywood']""]",medium,Positive
DHARIA,6K6etxmlu4Y7J3dR77MK3N,August Diaries,0.711,0.701,3,-4.424,0,0.237,0.474,0.0015,0.115,0.541,97.975,54,[],59,['[]'],low,Neutral
Otilia,6jtAx68jIQDbCdzdgXOLED,Bilionera - Rino Aqua & Md DJ Official Remix,0.806,0.662,3,-5.611,0,0.128,0.0102,9.62e-06,0.101,0.779,99.993,53,['romanian pop'],36,"[""['romanian"", ""pop']""]",low,Neutral
Kate Linn,3dEKNPY6TyygR60jmjMbm8,Ola La,0.662,0.806,0,-2.964,0,0.0422,0.245,0.148,0.354,0.425,92.022,48,['romanian pop'],50,"[""['romanian"", ""pop']""]",low,Neutral
Gurinder Seagal,2nqW35XEeEI4HI8bDTcXFU,Gf Bf,0.776,0.499,7,-6.89,0,0.0521,0.246,5.91e-05,0.18,0.463,93.989,43,[],59,['[]'],low,Neutral
Vishal Dadlani,0Zz7AEZfBKP2U7sO0WJKER,Selfie Le Le Re,0.725,0.938,11,-3.62,0,0.188,0.186,0.0,0.334,0.938,129.931,76,"['desi pop', 'filmi', 'modern bollywood']",45,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Mohit Chauhan,1DUoaxHClMTqzTZCTcF61z,Chicken Kuk-Doo-Koo,0.505,0.82,9,-5.35,1,0.364,0.571,0.0,0.716,0.902,184.518,75,"['desi pop', 'filmi', 'modern bollywood']",42,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",high,Negative
Mika Singh,1vmQPVE7vbgSZ12C8MlKX8,Aaj Ki Party,0.556,0.926,10,-6.375,0,0.329,0.196,0.0,0.0451,0.707,102.009,67,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",48,"[""['desi"", 'hip', ""hop',"", ""'desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Atif Aslam,3aaiAWCet6sbfOfLSn3g7i,Tu Chahiye,0.565,0.744,7,-5.817,1,0.0446,0.403,0.0,0.0853,0.415,134.068,78,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",65,"[""['classic"", 'pakistani', ""pop',"", ""'desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood',"", ""'sufi']""]",low,Neutral
Jubin Nautiyal,6TGX01ExmdHyOG72fqUU3Q,Zindagi Kuch Toh Bata (Reprise),0.528,0.615,5,-7.118,1,0.0372,0.491,0.000111,0.104,0.225,123.988,78,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",64,"[""['desi"", ""pop',"", ""'filmi',"", ""'hare"", ""krishna',"", ""'modern"", ""bollywood']""]",low,Neutral
KK,7txLCGOXyDlDXTjtR1Sk4v,Tu Jo Mila,0.576,0.591,0,-7.725,1,0.0332,0.795,6.85e-05,0.266,0.478,124.013,76,"['desi pop', 'filmi', 'modern bollywood']",65,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Imran Aziz Mian,6uW0tsv1DhwY3NvduQho0z,Bhar Do Jholi Meri (Reprise),0.672,0.888,6,-5.705,0,0.124,0.306,0.0,0.187,0.887,110.027,22,[],38,['[]'],low,Neutral
Javed Ali,7bpd5E3dqChouEvpNKwile,Tu Jo Mila (Dekhna Na Mud Ke),0.575,0.596,0,-7.755,1,0.0299,0.857,0.0111,0.263,0.381,124.952,71,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",40,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood',"", ""'sufi']""]",low,Neutral
Rahat Fateh Ali Khan,62VUSRdvSo53fRsfveton5,Zindagi Kuch Toh Bata,0.52,0.484,7,-8.399,1,0.0327,0.228,0.00143,0.15,0.421,124.136,73,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",47,"[""['classic"", 'pakistani', ""pop',"", ""'filmi',"", ""'modern"", ""bollywood',"", ""'qawwali',"", ""'sufi']""]",low,Neutral
Papon,00bOo6r6YhVnxzDu4JhCWX,Tu Jo Mila (Reprise),0.473,0.441,10,-9.205,1,0.0315,0.85,0.000159,0.116,0.265,122.017,61,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",41,"[""['desi"", ""pop',"", ""'filmi',"", ""'indian"", ""folk',"", ""'modern"", ""bollywood']""]",low,Neutral
Adnan Sami,52qnHAlqWpo3kgEteAPjRf,Bhar Do Jholi Meri,0.622,0.876,6,-5.952,0,0.12,0.232,0.0,0.144,0.796,110.019,60,"['classic bollywood', 'classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood']",59,"[""['classic"", ""bollywood',"", ""'classic"", 'pakistani', ""pop',"", ""'desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Pritam,6FjbAnaPRPwiP3sciEYctO,Raabta,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.323,118.037,88,"['filmi', 'indian instrumental', 'modern bollywood']",76,"[""['filmi',"", ""'indian"", ""instrumental',"", ""'modern"", ""bollywood']""]",low,Neutral
Yash Narvekar,56gEEO1y5Yj0y2FthNIhLG,Muqabla,0.804,0.913,0,-3.135,1,0.0933,0.0248,2.84e-05,0.391,0.544,119.993,54,['modern bollywood'],44,"[""['modern"", ""bollywood']""]",low,Neutral
Badshah,2J6eJ4OtqTiKSQr3pIwxmD,Garmi (feat. Varun Dhawan),0.788,0.87,9,-5.217,1,0.177,0.123,1.43e-05,0.0692,0.884,109.974,76,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood']",59,"[""['desi"", 'hip', ""hop',"", ""'desi"", ""pop',"", ""'desi"", ""trap',"", ""'modern"", ""bollywood']""]",low,Neutral
Arijit Singh,18YDYRBEh6ZVNv4rPfKYg7,Dua Karo,0.463,0.828,0,-4.605,0,0.0857,0.124,0.0,0.141,0.335,170.081,89,"['desi pop', 'filmi', 'modern bollywood']",39,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Guru Randhawa,31d3tVd82tx2sjA2VQ3PMZ,Lagdi Lahore Di,0.786,0.797,6,-4.063,1,0.0414,0.233,0.0,0.0861,0.453,95.014,71,"['desi hip hop', 'desi pop', 'modern bollywood']",53,"[""['desi"", 'hip', ""hop',"", ""'desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Garry Sandhu,54MirGxSzgVfD8iJR0MCsB,Sip Sip 2.0,0.842,0.877,5,-2.134,0,0.177,0.114,0.000225,0.0824,0.506,93.991,65,"['desi pop', 'punjabi pop']",34,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral
Divya Kumar,73h6xVH5BesEEZi80KlzUl,Gann Deva,0.535,0.709,5,-5.218,0,0.0503,0.13,0.0,0.115,0.446,126.863,63,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",36,"[""['desi"", ""pop',"", ""'filmi',"", ""'indian"", ""folk',"", ""'modern"", ""bollywood']""]",low,Neutral
Neeti Mohan,13Lx0000yJvTxqVQPkFkux,Nachi Nachi,0.906,0.955,8,-1.485,1,0.0867,0.0336,0.0003,0.0444,0.824,128.002,72,"['desi pop', 'filmi', 'modern bollywood']",39,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Gurinder Seagal,5NuffxzMfqxnpEdm82KwG5,Pind,0.556,0.419,3,-8.946,0,0.0312,0.858,0.0,0.316,0.237,122.073,43,[],33,['[]'],low,Neutral
Siddharth Basrur,3CB6fb7g8DHYi2UawqGAqC,Bezubaan Kab Se,0.747,0.865,7,-5.991,1,0.0451,0.00279,0.00058,0.0764,0.209,124.985,56,['modern bollywood'],39,"[""['modern"", ""bollywood']""]",low,Neutral
Shankar Mahadevan,3S3z1LLxZLGtEk6XoWhcDE,Hindustani,0.629,0.957,8,-5.466,1,0.0591,0.0351,0.000375,0.273,0.652,147.958,75,"['filmi', 'modern bollywood']",34,"[""['filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Jasmine Sandlas,11IAzj9706fIKBVCJyMNNt,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,62,"['desi pop', 'punjabi pop']",53,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",high,Negative
Garry Sandhu,7gBjvaMxE92ezPBMljMAcq,Do Gallan - Let's Talk,0.645,0.44,1,-7.908,1,0.036,0.872,0.0,0.0923,0.453,139.55,65,"['desi pop', 'punjabi pop']",63,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral
Garry Sandhu,3sU6PMIp4BgwZyxnY3aSZL,Good Luck,0.471,0.626,6,-3.432,0,0.25,0.615,4.78e-06,0.088,0.732,155.543,65,"['desi pop', 'punjabi pop']",50,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",high,Positive
Garry Sandhu,2bCaaT2zKtLfaIrytRv6IO,Rabb Jane,0.682,0.868,11,-5.147,0,0.0372,0.179,0.0,0.182,0.655,90.02,65,"['desi pop', 'punjabi pop']",58,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral
Garry Sandhu,7Jo4yv6Iiwxla5z10lE1L9,"Sip Sip 2.0 (From ""Street Dancer 3D"")",0.842,0.877,5,-2.134,0,0.177,0.114,0.000225,0.0824,0.506,93.991,65,"['desi pop', 'punjabi pop']",46,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral
Garry Sandhu,0AKWRh7wMW7Pzz2xo7SXlV,Ishq,0.65,0.659,10,-6.39,0,0.171,0.236,0.0,0.0894,0.431,97.954,65,"['desi pop', 'punjabi pop']",46,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral
Ikky,4RSlfsILh7UZolz6iTa1W1,80 90,0.717,0.583,11,-7.049,0,0.285,0.0582,0.0,0.245,0.53,79.037,72,['punjabi pop'],48,"[""['punjabi"", ""pop']""]",low,Neutral
Jubin Nautiyal,2ufLEVbzvEcJ3subW8jBUp,Lut Gaye,0.638,0.785,10,-2.612,1,0.044,0.185,0.0,0.245,0.515,91.101,78,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",65,"[""['desi"", ""pop',"", ""'filmi',"", ""'hare"", ""krishna',"", ""'modern"", ""bollywood']""]",low,Neutral
Dua Lipa,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,88,"['dance pop', 'pop', 'uk pop']",78,"[""['dance"", ""pop',"", ""'pop',"", ""'uk"", ""pop']""]",low,Neutral
Ed Sheeran,1m84zLz4WizjR4mCDoXReg,I Don't Care - Acoustic,0.706,0.349,6,-8.125,1,0.0302,0.791,0.0,0.108,0.624,94.058,92,"['pop', 'uk pop']",68,"[""['pop',"", ""'uk"", ""pop']""]",low,Neutral
The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,81,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",85,"[""['dance"", ""pop',"", ""'edm',"", ""'electropop',"", ""'pop',"", ""'pop"", ""dance',"", ""'tropical"", ""house']""]",low,Neutral
Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,Sorry,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,91,"['canadian pop', 'pop']",82,"[""['canadian"", ""pop',"", ""'pop']""]",high,Negative
Alan Walker,0lks2Kt9veMOFEAPN0fsqN,Lily,0.423,0.634,6,-5.877,0,0.0578,0.196,0.0,0.189,0.467,150.978,81,['electro house'],73,"[""['electro"", ""house']""]",low,Neutral
Selena Gomez,0tBbt8CrmxbjRP0pueQkyU,Wolves,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,87,"['dance pop', 'pop', 'post-teen pop']",80,"[""['dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",low,Neutral
Sabrina Carpenter,0roOLcll6SSTYZwsQFmXqP,"Let Me Move You - From the Netflix film ""Work It""",0.624,0.628,4,-6.582,0,0.0408,0.0112,0.0191,0.0814,0.772,114.556,80,"['dance pop', 'pop', 'post-teen pop']",61,"[""['dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",low,Neutral
Madilyn Bailey,62usIcDxqFIQ7x5qN91hrN,I Need Your Love,0.562,0.252,3,-7.428,1,0.0356,0.864,0.0,0.124,0.289,110.825,58,"['post-teen pop', 'viral pop']",3,"[""['post-teen"", ""pop',"", ""'viral"", ""pop']""]",high,Positive
Katy Perry,4jbmgIyjGoXjY01XxatOx6,Dark Horse,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934,85,"['dance pop', 'pop']",80,"[""['dance"", ""pop',"", ""'pop']""]",high,Negative
Katy Perry,3f7gYMirBEKuc57218BjOY,California Gurls,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,85,"['dance pop', 'pop']",71,"[""['dance"", ""pop',"", ""'pop']""]",low,Neutral
Selena Gomez,4hQ6UGyWQIGJmHSo0J88JW,Back To You - From 13 Reasons Why – Season 2 Soundtrack,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,87,"['dance pop', 'pop', 'post-teen pop']",76,"[""['dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",low,Neutral
