artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language,embed_code
Alphons Joseph,spotify:track:2UO3NF7wiGnRSkfnEpR5fV,https://open.spotify.com/track/2UO3NF7wiGnRSkfnEpR5fV,spotify:artist:7r6kmDCXWnmTa2Uu1F37qm,https://open.spotify.com/artist/7r6kmDCXWnmTa2Uu1F37qm,Emitemitemo,spotify:album:6kExl3MNpevVtSv1JEAjoV,203250.0,Arjun Reddy (Original Motion Picture Soundtrack),Emitemitemo,0.48,0.526,4.0,-4.893,1.0,0.0286,0.498,0.0,0.124,0.347,135.907,audio_features,2UO3NF7wiGnRSkfnEpR5fV,spotify:track:2UO3NF7wiGnRSkfnEpR5fV,https://api.spotify.com/v1/tracks/2UO3NF7wiGnRSkfnEpR5fV,https://api.spotify.com/v1/audio-analysis/2UO3NF7wiGnRSkfnEpR5fV,203250.0,3.0,45.0,"['filmi', 'mollywood']",845654.0,telugu,https://open.spotify.com/embed/track/2UO3NF7wiGnRSkfnEpR5fV?utm_source=generator
"Tippu, Sumangali",spotify:track:1RCrBXLN9cn4WmbpT9uJGJ,https://open.spotify.com/track/1RCrBXLN9cn4WmbpT9uJGJ,spotify:artist:0XFEmPx7BWa36ImhE4AbaM,https://open.spotify.com/artist/0XFEmPx7BWa36ImhE4AbaM,Choododde Nannu,spotify:album:13VoQCbGpWJP3M22y0LMYc,261139.0,Aaru,Choododde Nannu,0.807,0.652,5.0,-7.451,0.0,0.0473,0.0477,0.000493,0.0944,0.759,144.958,audio_features,1RCrBXLN9cn4WmbpT9uJGJ,spotify:track:1RCrBXLN9cn4WmbpT9uJGJ,https://api.spotify.com/v1/tracks/1RCrBXLN9cn4WmbpT9uJGJ,https://api.spotify.com/v1/audio-analysis/1RCrBXLN9cn4WmbpT9uJGJ,261139.0,4.0,39.0,['classic tollywood'],845645.0,telugu,https://open.spotify.com/embed/track/1RCrBXLN9cn4WmbpT9uJGJ?utm_source=generator
Kalyani Malik,spotify:track:4Q4A3GE5bOPaPYyrBJzLT8,https://open.spotify.com/track/4Q4A3GE5bOPaPYyrBJzLT8,spotify:artist:5w6bUd0SJtvdQ99pZm83PJ,https://open.spotify.com/artist/5w6bUd0SJtvdQ99pZm83PJ,Chantyna Bujjaina,spotify:album:2sfT7elSXfFelryrhMI2ou,327446.0,Sye (Original Motion Picture Soundtrack),Chantyna Bujjaina,0.839,0.796,11.0,-8.137,0.0,0.0547,0.292,0.000488,0.048,0.574,119.986,audio_features,4Q4A3GE5bOPaPYyrBJzLT8,spotify:track:4Q4A3GE5bOPaPYyrBJzLT8,https://api.spotify.com/v1/tracks/4Q4A3GE5bOPaPYyrBJzLT8,https://api.spotify.com/v1/audio-analysis/4Q4A3GE5bOPaPYyrBJzLT8,327447.0,4.0,48.0,"['classic tollywood', 'tollywood']",845624.0,telugu,https://open.spotify.com/embed/track/4Q4A3GE5bOPaPYyrBJzLT8?utm_source=generator
Adnan Sami,spotify:track:2f0LNzuZEh8QlsGVEiEM6e,https://open.spotify.com/track/2f0LNzuZEh8QlsGVEiEM6e,spotify:artist:0kJO65h553i1iGsZutBuqz,https://open.spotify.com/artist/0kJO65h553i1iGsZutBuqz,Ye Jilla,spotify:album:2gOzpFai2OeYqs1D2CFvHr,301476.0,Shankar Dada M. B. B. S. (Original Motion Picture Soundtrack),Ye Jilla,0.845,0.808,8.0,-9.313,1.0,0.116,0.248,0.00108,0.0961,0.609,133.984,audio_features,2f0LNzuZEh8QlsGVEiEM6e,spotify:track:2f0LNzuZEh8QlsGVEiEM6e,https://api.spotify.com/v1/tracks/2f0LNzuZEh8QlsGVEiEM6e,https://api.spotify.com/v1/audio-analysis/2f0LNzuZEh8QlsGVEiEM6e,301477.0,4.0,60.0,"['classic bollywood', 'classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood']",83658.0,telugu,https://open.spotify.com/embed/track/2f0LNzuZEh8QlsGVEiEM6e?utm_source=generator
Santhosh Narayanan,spotify:track:3GCwsB2loRGeUL8oq2Y4TW,https://open.spotify.com/track/3GCwsB2loRGeUL8oq2Y4TW,spotify:artist:5FVBduYaeVBb6JIghza7v6,https://open.spotify.com/artist/5FVBduYaeVBb6JIghza7v6,Chamkeela Angeelesi,spotify:album:4pLn59pEKTs9K3pywf2AYU,203052.0,"Chamkeela Angeelesi (From ""Dasara"") (Telugu)",Chamkeela Angeelesi,0.871,0.56,6.0,-4.524,0.0,0.193,0.464,0.0,0.0461,0.828,95.004,audio_features,3GCwsB2loRGeUL8oq2Y4TW,spotify:track:3GCwsB2loRGeUL8oq2Y4TW,https://api.spotify.com/v1/tracks/3GCwsB2loRGeUL8oq2Y4TW,https://api.spotify.com/v1/audio-analysis/3GCwsB2loRGeUL8oq2Y4TW,203053.0,4.0,74.0,"['filmi', 'tamil pop']",8356943.0,telugu,https://open.spotify.com/embed/track/3GCwsB2loRGeUL8oq2Y4TW?utm_source=generator
"Chinmayi Sripaada, Gowtham Bharadwaj V",spotify:track:6Qtt3Feevn3dH9wNx80eUo,https://open.spotify.com/track/6Qtt3Feevn3dH9wNx80eUo,spotify:artist:5RDIvcCVxB0f4C6GKDtVq3,https://open.spotify.com/artist/5RDIvcCVxB0f4C6GKDtVq3,Pranam,spotify:album:76Gn7WA0mvH8Ke4yjGlveG,200000.0,Jaanu,Pranam,0.496,0.215,2.0,-11.718,0.0,0.0309,0.634,0.000843,0.0887,0.123,127.479,audio_features,6Qtt3Feevn3dH9wNx80eUo,spotify:track:6Qtt3Feevn3dH9wNx80eUo,https://api.spotify.com/v1/tracks/6Qtt3Feevn3dH9wNx80eUo,https://api.spotify.com/v1/audio-analysis/6Qtt3Feevn3dH9wNx80eUo,200000.0,3.0,27.0,[],83568.0,telugu,https://open.spotify.com/embed/track/6Qtt3Feevn3dH9wNx80eUo?utm_source=generator
shwetha Prasad,spotify:track:5p5xKVj0G5fWFHxvIW5ePe,https://open.spotify.com/track/5p5xKVj0G5fWFHxvIW5ePe,spotify:artist:5tpptjARVSqNOuO8WSVxLt,https://open.spotify.com/artist/5tpptjARVSqNOuO8WSVxLt,Nenani Neevani,spotify:album:2ZrqaY4q9w6NVDhjLddkZq,309838.0,KothaBangarulokam,Nenani Neevani,0.665,0.383,4.0,-10.591,1.0,0.0389,0.68,0.000268,0.127,0.27,134.973,audio_features,5p5xKVj0G5fWFHxvIW5ePe,spotify:track:5p5xKVj0G5fWFHxvIW5ePe,https://api.spotify.com/v1/tracks/5p5xKVj0G5fWFHxvIW5ePe,https://api.spotify.com/v1/audio-analysis/5p5xKVj0G5fWFHxvIW5ePe,309838.0,1.0,31.0,"['classic tollywood', 'tollywood']",80964.0,telugu,https://open.spotify.com/embed/track/5p5xKVj0G5fWFHxvIW5ePe?utm_source=generator
Kapil,spotify:track:0qWNEKbyc4fdMUQYSYSkVQ,https://open.spotify.com/track/0qWNEKbyc4fdMUQYSYSkVQ,spotify:artist:1qRMj0A3Z6fcxQMZVaXhp0,https://open.spotify.com/artist/1qRMj0A3Z6fcxQMZVaXhp0,Champesaave Nannu,spotify:album:0algcmWDo4iWiZYoRt540l,200506.0,Nenu Local (Original Motion Picture Soundtrack),Champesaave Nannu,0.746,0.877,5.0,-4.94,1.0,0.0495,0.615,0.000111,0.143,0.634,130.025,audio_features,0qWNEKbyc4fdMUQYSYSkVQ,spotify:track:0qWNEKbyc4fdMUQYSYSkVQ,https://api.spotify.com/v1/tracks/0qWNEKbyc4fdMUQYSYSkVQ,https://api.spotify.com/v1/audio-analysis/0qWNEKbyc4fdMUQYSYSkVQ,200507.0,4.0,13.0,[],807556.0,telugu,https://open.spotify.com/embed/track/0qWNEKbyc4fdMUQYSYSkVQ?utm_source=generator
Roll Rida,spotify:track:1WBA3KunNN2GGpHghfwnNE,https://open.spotify.com/track/1WBA3KunNN2GGpHghfwnNE,spotify:artist:6xikG2kDoIZnB78TBPXlkj,https://open.spotify.com/artist/6xikG2kDoIZnB78TBPXlkj,OMG Daddy,spotify:album:3lnOgTbiGMIvcZhvqBkHDa,228125.0,Ala Vaikunthapurramuloo,OMG Daddy,0.83,0.61,1.0,-6.293,0.0,0.0555,0.252,1.27e-05,0.115,0.608,96.011,audio_features,1WBA3KunNN2GGpHghfwnNE,spotify:track:1WBA3KunNN2GGpHghfwnNE,https://api.spotify.com/v1/tracks/1WBA3KunNN2GGpHghfwnNE,https://api.spotify.com/v1/audio-analysis/1WBA3KunNN2GGpHghfwnNE,228125.0,4.0,52.0,"['desi hip hop', 'telugu hip hop']",8067.0,telugu,https://open.spotify.com/embed/track/1WBA3KunNN2GGpHghfwnNE?utm_source=generator
Armaan Malik,spotify:track:4cwfhPbGtRbuLG9OwZPld5,https://open.spotify.com/track/4cwfhPbGtRbuLG9OwZPld5,spotify:artist:4IKVDbCSBTxBeAsMKjAuTs,https://open.spotify.com/artist/4IKVDbCSBTxBeAsMKjAuTs,Vinnane Vinnane,spotify:album:7e5Uy5EuxnoNIhiq1OJ9PQ,245346.0,Toliprema (Original Motion Picture Soundtrack),Vinnane Vinnane,0.787,0.715,8.0,-3.826,0.0,0.0273,0.206,0.0,0.123,0.834,100.948,audio_features,4cwfhPbGtRbuLG9OwZPld5,spotify:track:4cwfhPbGtRbuLG9OwZPld5,https://api.spotify.com/v1/tracks/4cwfhPbGtRbuLG9OwZPld5,https://api.spotify.com/v1/audio-analysis/4cwfhPbGtRbuLG9OwZPld5,245347.0,4.0,75.0,"['desi pop', 'filmi', 'modern bollywood']",8064.0,telugu,https://open.spotify.com/embed/track/4cwfhPbGtRbuLG9OwZPld5?utm_source=generator
