artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language
Pritam,spotify:track:6FjbAnaPRPwiP3sciEYctO,https://open.spotify.com/track/6FjbAnaPRPwiP3sciEYctO,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,Raabta,spotify:album:2DqQ34i4uuuZWTScsGIgHr,243578.0,Agent Vinod,Raabta,0.657,0.581,0.0,-8.108,1.0,0.0298,0.699,1.82e-05,0.116,0.323,118.037,audio_features,6FjbAnaPRPwiP3sciEYctO,spotify:track:6FjbAnaPRPwiP3sciEYctO,https://api.spotify.com/v1/tracks/6FjbAnaPRPwiP3sciEYctO,https://api.spotify.com/v1/audio-analysis/6FjbAnaPRPwiP3sciEYctO,243578.0,4.0,88.0,"['filmi', 'indian instrumental', 'modern bollywood']",233464,hindi
Yash Narvekar,spotify:track:56gEEO1y5Yj0y2FthNIhLG,https://open.spotify.com/track/56gEEO1y5Yj0y2FthNIhLG,spotify:artist:4RlnRVxKm3jnUzOP4czbIK,https://open.spotify.com/artist/4RlnRVxKm3jnUzOP4czbIK,Muqabla,spotify:album:50FHINh9xisewZgfucGbVL,176125.0,Street Dancer 3D,Muqabla,0.804,0.913,0.0,-3.135,1.0,0.0933,0.0248,2.84e-05,0.391,0.544,119.993,audio_features,56gEEO1y5Yj0y2FthNIhLG,spotify:track:56gEEO1y5Yj0y2FthNIhLG,https://api.spotify.com/v1/tracks/56gEEO1y5Yj0y2FthNIhLG,https://api.spotify.com/v1/audio-analysis/56gEEO1y5Yj0y2FthNIhLG,176125.0,4.0,54.0,['modern bollywood'],67065,hindi
Badshah,spotify:track:2J6eJ4OtqTiKSQr3pIwxmD,https://open.spotify.com/track/2J6eJ4OtqTiKSQr3pIwxmD,spotify:artist:0y59o4v8uw5crbN9M3JiL1,https://open.spotify.com/artist/0y59o4v8uw5crbN9M3JiL1,Garmi (feat. Varun Dhawan),spotify:album:50FHINh9xisewZgfucGbVL,182738.0,Street Dancer 3D,Garmi (feat. Varun Dhawan),0.788,0.87,9.0,-5.217,1.0,0.177,0.123,1.43e-05,0.0692,0.884,109.974,audio_features,2J6eJ4OtqTiKSQr3pIwxmD,spotify:track:2J6eJ4OtqTiKSQr3pIwxmD,https://api.spotify.com/v1/tracks/2J6eJ4OtqTiKSQr3pIwxmD,https://api.spotify.com/v1/audio-analysis/2J6eJ4OtqTiKSQr3pIwxmD,182739.0,4.0,76.0,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood']",59567,hindi
Jasmine Sandlas,spotify:track:7CY0CmCpSglfUKCBOOiRfw,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw,spotify:artist:0mJDQBWytBhOh5JB1DOQ1c,https://open.spotify.com/artist/0mJDQBWytBhOh5JB1DOQ1c,Illegal Weapon 2.0,spotify:album:50FHINh9xisewZgfucGbVL,188606.0,Street Dancer 3D,Illegal Weapon 2.0,0.805,0.919,1.0,-1.294,1.0,0.0938,0.101,0.00343,0.0598,0.494,94.993,audio_features,7CY0CmCpSglfUKCBOOiRfw,spotify:track:7CY0CmCpSglfUKCBOOiRfw,https://api.spotify.com/v1/tracks/7CY0CmCpSglfUKCBOOiRfw,https://api.spotify.com/v1/audio-analysis/7CY0CmCpSglfUKCBOOiRfw,188606.0,4.0,62.0,"['desi pop', 'punjabi pop']",567445,hindi
Arijit Singh,spotify:track:18YDYRBEh6ZVNv4rPfKYg7,https://open.spotify.com/track/18YDYRBEh6ZVNv4rPfKYg7,spotify:artist:4YRxDV8wJFPHPTeXepOstw,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,Dua Karo,spotify:album:50FHINh9xisewZgfucGbVL,269381.0,Street Dancer 3D,Dua Karo,0.463,0.828,0.0,-4.605,0.0,0.0857,0.124,0.0,0.141,0.335,170.081,audio_features,18YDYRBEh6ZVNv4rPfKYg7,spotify:track:18YDYRBEh6ZVNv4rPfKYg7,https://api.spotify.com/v1/tracks/18YDYRBEh6ZVNv4rPfKYg7,https://api.spotify.com/v1/audio-analysis/18YDYRBEh6ZVNv4rPfKYg7,269382.0,4.0,89.0,"['desi pop', 'filmi', 'modern bollywood']",596655,hindi
Guru Randhawa,spotify:track:31d3tVd82tx2sjA2VQ3PMZ,https://open.spotify.com/track/31d3tVd82tx2sjA2VQ3PMZ,spotify:artist:5rQoBDKFnd1n6BkdbgVaRL,https://open.spotify.com/artist/5rQoBDKFnd1n6BkdbgVaRL,Lagdi Lahore Di,spotify:album:50FHINh9xisewZgfucGbVL,215368.0,Street Dancer 3D,Lagdi Lahore Di,0.786,0.797,6.0,-4.063,1.0,0.0414,0.233,0.0,0.0861,0.453,95.014,audio_features,31d3tVd82tx2sjA2VQ3PMZ,spotify:track:31d3tVd82tx2sjA2VQ3PMZ,https://api.spotify.com/v1/tracks/31d3tVd82tx2sjA2VQ3PMZ,https://api.spotify.com/v1/audio-analysis/31d3tVd82tx2sjA2VQ3PMZ,215368.0,4.0,71.0,"['desi hip hop', 'desi pop', 'modern bollywood']",325346,hindi
Garry Sandhu,spotify:track:54MirGxSzgVfD8iJR0MCsB,https://open.spotify.com/track/54MirGxSzgVfD8iJR0MCsB,spotify:artist:7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,Sip Sip 2.0,spotify:album:50FHINh9xisewZgfucGbVL,219970.0,Street Dancer 3D,Sip Sip 2.0,0.842,0.877,5.0,-2.134,0.0,0.177,0.114,0.000225,0.0824,0.506,93.991,audio_features,54MirGxSzgVfD8iJR0MCsB,spotify:track:54MirGxSzgVfD8iJR0MCsB,https://api.spotify.com/v1/tracks/54MirGxSzgVfD8iJR0MCsB,https://api.spotify.com/v1/audio-analysis/54MirGxSzgVfD8iJR0MCsB,219970.0,4.0,65.0,"['desi pop', 'punjabi pop']",967967,hindi
Divya Kumar,spotify:track:73h6xVH5BesEEZi80KlzUl,https://open.spotify.com/track/73h6xVH5BesEEZi80KlzUl,spotify:artist:0NErdIJtuKBjtxKmlqaWdj,https://open.spotify.com/artist/0NErdIJtuKBjtxKmlqaWdj,Gann Deva,spotify:album:50FHINh9xisewZgfucGbVL,241469.0,Street Dancer 3D,Gann Deva,0.535,0.709,5.0,-5.218,0.0,0.0503,0.13,0.0,0.115,0.446,126.863,audio_features,73h6xVH5BesEEZi80KlzUl,spotify:track:73h6xVH5BesEEZi80KlzUl,https://api.spotify.com/v1/tracks/73h6xVH5BesEEZi80KlzUl,https://api.spotify.com/v1/audio-analysis/73h6xVH5BesEEZi80KlzUl,241470.0,5.0,63.0,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",43645,hindi
Neeti Mohan,spotify:track:13Lx0000yJvTxqVQPkFkux,https://open.spotify.com/track/13Lx0000yJvTxqVQPkFkux,spotify:artist:3ZxZ03fj3tXBZHZWzvaLSM,https://open.spotify.com/artist/3ZxZ03fj3tXBZHZWzvaLSM,Nachi Nachi,spotify:album:50FHINh9xisewZgfucGbVL,199751.0,Street Dancer 3D,Nachi Nachi,0.906,0.955,8.0,-1.485,1.0,0.0867,0.0336,0.0003,0.0444,0.824,128.002,audio_features,13Lx0000yJvTxqVQPkFkux,spotify:track:13Lx0000yJvTxqVQPkFkux,https://api.spotify.com/v1/tracks/13Lx0000yJvTxqVQPkFkux,https://api.spotify.com/v1/audio-analysis/13Lx0000yJvTxqVQPkFkux,199751.0,4.0,72.0,"['desi pop', 'filmi', 'modern bollywood']",9679674,hindi
Gurinder Seagal,spotify:track:5NuffxzMfqxnpEdm82KwG5,https://open.spotify.com/track/5NuffxzMfqxnpEdm82KwG5,spotify:artist:0liUJ2xG9JRPSrYGZALfgX,https://open.spotify.com/artist/0liUJ2xG9JRPSrYGZALfgX,Pind,spotify:album:50FHINh9xisewZgfucGbVL,336385.0,Street Dancer 3D,Pind,0.556,0.419,3.0,-8.946,0.0,0.0312,0.858,0.0,0.316,0.237,122.073,audio_features,5NuffxzMfqxnpEdm82KwG5,spotify:track:5NuffxzMfqxnpEdm82KwG5,https://api.spotify.com/v1/tracks/5NuffxzMfqxnpEdm82KwG5,https://api.spotify.com/v1/audio-analysis/5NuffxzMfqxnpEdm82KwG5,336385.0,4.0,43.0,[],346549,hindi
